It's funny.,C'est rigolo.
It's night.,Il fait nuit.
Leave it.,Laissez tomber!
May I go?,Puis-je y aller?
Tell Tom.,Informez-en Tom.
We're OK.,Nous allons bien.
Can we go?,Pouvons-nous nous en aller?
Excuse me?,Je vous demande pardon?
Get a job.,Trouvez un boulot!
How's Tom?,Comment Tom va-t-il?
I saw you.,Je vous ai vus.
Loosen up.,Laissez-vous aller!
Let him go.,Laissez-le partir!
We're twins.,Nous sommes jumeaux.
It's quiet.,C'est silencieux.
It's awful.,C'est affreux.
Is that so?,Est-ce le cas?
Is it love?,Est-ce de l'amour?
He needs it.,Il en a besoin.
Come alone.,Venez seule!
