Go.,Va.
Hi.,Salut.
Hi!,Salut!
Run!,Cours!
Run!,Courez!
Run.,Cours.
Who?,Qui?
Wow!,Ca alors!
Fire!,Au feu!
Help!,A l'aide!
Jump.,Saute.
Stop!,Ca suffit!
Stop!,Stop!
Stop!,Arrete-toi!
Wait!,Attends!
Wait!,Attendez!
Go on.,Continuez.
Go on.,Poursuivez.
Hello!,Salut!
I see.,Je vois.
I try.,J'essaye.
I won!,J'ai gagne!
I won!,Je l'ai emporte!
I won.,J'ai gagne.
Oh no!,Oh non!
Attack!,Attaquez!
Cheers!,Sante!
Cheers!,À votre sante!
Cheers!,Merci!
Cheers!,Tchin-tchin!
Get up.,Lève-toi.
Go now.,Va maintenant.
Go now.,Allez-y maintenant.
Go now.,Vas-y maintenant.
Got it!,J'ai pigé!
Got it!,Compris!
Got it?,Pigé?
Got it?,Compris?
Got it?,T'as capté?
Hop in.,Monte.
Hop in.,Montez.
Hug me.,Serre-moi dans tes bras!
Hug me.,Serrez-moi dans vos bras!
I fell.,Je suis tombée.
I fell.,Je suis tombé.
I know.,Je sais.
I left.,Je suis parti.
I left.,Je suis partie.
I lied.,J'ai menti.
I lost.,J'ai perdu.
I paid.,J'ai payé.
I'm 19.,J'ai 19 ans.
I'm OK.,Je vais bien.
I'm OK.,Ça va.
Listen.,Ecoutez!
No way!,C'est pas possible!
No way!,Impossible!
No way!,En aucun cas.
No way!,Sans façons!
No way!,C'est hors de question!
No way!,Il n'en est pas question!
No way!,C'est exclu!
No way!,En aucune manière!
No way!,Hors de question!
No way!,Pas question!
Come in.,Entre.
Come in.,Entre!
Come in.,Entrez!
Come on!,Allez!
Come on.,Venez!
Really?,Vraiment?
Really?,Vrai?
Really?,Ah bon?
Thanks.,Merci!
We try.,On essaye.
We won.,Nous avons gagné.
We won.,Nous gagnâmes.
We won.,Nous l'avons emporté.
We won.,Nous l'emportâmes.
Ask Tom.,Demande à Tom.
Awesome!,Fantastique!
Be calm.,Sois calme!
Be calm.,Soyez calme!
Be calm.,Soyez calmes!
Be cool.,Sois détendu!
Be fair.,Sois juste!
Be fair.,Soyez juste!
Be fair.,Soyez justes!
Be fair.,Sois équitable!
Be fair.,Soyez equitable!
Be fair.,Soyez equitables!
Be kind.,Sois gentil.
Be nice.,Sois gentil!
Be nice.,Sois gentille!
Be nice.,Soyez gentil!
Be nice.,Soyez gentille!
Be nice.,Soyez gentils!
Be nice.,Soyez gentilles!
Beat it.,Dégage!
Call me.,Appelle-moi!
Call me.,Appellez-moi!
Call me.,Téléphone moi.
Call me.,Téléphonez moi.
Call us.,Appelle-nous!
